Manufacturer Name,Model Name,Variant Name,Battery Type,Drive Type,Battery Capacity,Useable Capacity,Warranty Years,Warranty Kms,Official Range,Range Rating System,Real Range,Efficiency,Horsepower,Torque,0-100,Top speed,Weight,Fast Charging DC KW,10-80 time,v2l output kw AC,price (in lakhs),view_count
Mahindra,XUV400,EL Pro 39.4 KWh,NCM,FWD,39.5,37.1,8,200000,456,MIDC,240,164.58,147,310,8.3,150,1620,50,50,0,17.49,0
Mahindra,BE 6,Pack One,LFP,RWD,59,57.1,100,10000000,557,MIDC,355,166.2,227,380,7.4,202,1975,140,24,0,18.9,0
Mahindra,BE 6,Pack One Above,LFP,RWD,59,57.1,100,10000000,557,MIDC,355,166.2,227,380,7.4,202,1975,140,24,0,20.5,0
Mahindra,BE 6,Pack Two,LFP,RWD,59,57.1,100,10000000,557,MIDC,355,166.2,227,380,7.4,202,1975,140,24,0,21.9,0
Mahindra,BE 6,Pack Three Select,LFP,RWD,59,57.1,100,10000000,557,MIDC,355,166.2,227,380,7.4,202,1975,140,24,0,24.5,0
Mahindra,BE 6,Pack Three,LFP,RWD,79,76.6,100,10000000,683,MIDC,445,177.53,281,380,6.7,202,2115,175,24,0,26.9,980
Mahindra,XEV 9e,Pack One,LFP,RWD,59,57.1,100,10000000,542,MIDC,348,169.54,227,380,7.5,202,2060,140,24,0,21.9,0
Mahindra,XEV 9e,Pack Two,LFP,RWD,59,57.1,100,10000000,542,MIDC,348,169.54,227,380,7.5,202,2060,140,24,0,24.9,0
Mahindra,XEV 9e,Pack Three Select,LFP,RWD,59,57.1,100,10000000,542,MIDC,348,169.54,227,380,7.5,202,2060,140,24,0,27.9,0
Mahindra,XEV 9e,Pack Three,LFP,RWD,79,76.6,100,10000000,656,MIDC,432,182.87,281,380,6.8,202,2200,175,24,0,30.5,960
Mercedes - Benz,EQA,250 Plus,NCM,FWD,73.9,70.5,8,160000,560,WLTP,430,171.86,187,385,8.6,160,2055,100,35,0,67.2,0
Mercedes - Benz,EQB,250 Plus,NCM,FWD,73.9,70.5,8,160000,536,WLTP,425,173.88,187,385,8.9,160,2105,100,32,0,72.2,0
Mercedes - Benz,EQB,350 4MATIC,NCM,AWD,69.7,66.5,8,160000,448,WLTP,355,196.34,224,390,8,160,2165,100,29,0,78.9,0
Mercedes - Benz,EQE SUV,500 4MATIC,NCM,AWD,100,90.6,10,250000,550,WLTP,445,224.72,402,858,4.9,210,2560,100,28,0,141,0
Mercedes - Benz,EQS SUV,450 4MATIC,NCM,AWD,125,118,10,250000,650,WLTP,540,231.48,355,800,6.1,210,2840,200,31,0,128,0
Mercedes - Benz,EQS SUV,580 4MATIC,NCM,AWD,125,118,10,250000,809,ARAI,540,231.48,536,858,4.7,210,2845,200,31,0,143,0
Mercedes - Benz,EQS,580 4MATIC,NCM,AWD,120,107.8,8,250000,672,WLTP,605,198.35,516,855,4.3,210,2585,200,28,0,163,0
Mercedes - Benz,AMG EQS,53 4MATIC Plus,NCM,AWD,120,107.8,8,250000,580,WLTP,550,218.18,750,1020,3.4,250,2655,200,28,0,245,0
Mercedes - Benz,Maybach EQS SUV,680,NCM,AWD,125,118,8,250000,611,WLTP,500,250,649,950,4.4,210,3075,200,33,0,228,0
Mercedes - Benz,Maybach EQS SUV,Night Series,NCM,AWD,125,118,8,250000,611,WLTP,500,250,649,950,4.4,210,3075,200,33,0,263,0
Mercedes - Benz,G Class,580 Edition One,NCM,AWD,124,116,10,250000,473,WLTP,370,335.14,579,1164,4.7,180,3085,200,34,0,300,0
MG,Comet EV,Executive,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,5.99,0
MG,Comet EV,Excite,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,7.25,0
MG,Comet EV,Excite FC,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,7.77,770
MG,Comet EV,Exclusive,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,8.35,800
MG,Comet EV,Exclusive FC,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,8.77,0
MG,Comet EV,Blackstorm Edition,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,8.8,0
MG,Comet EV,100-Year Edition,LFP,RWD,17.3,17,8,120000,230,ARAI,110,157.27,42,110,20,106,815,0,150,0,8.75,0
MG,Windsor EV,Excite,LFP,FWD,38,37,100,10000000,332,MIDC,233,163.09,134,200,9.8,175,1930,32,48,0,12,0
MG,Windsor EV,Exclusive,LFP,FWD,38,37,100,10000000,332,MIDC,233,163.09,134,200,9.8,175,1930,32,48,0,13,1000
MG,Windsor EV,Essence,LFP,FWD,38,37,100,10000000,332,MIDC,233,163.09,134,200,9.8,175,1930,32,48,0,14,0
MG,ZS EV,Executive,NCM,FWD,50.3,49,8,150000,461,ARAI,280,179.64,174.3,280,8.6,175,1645,50,52,0,16.48,0
MG,ZS EV,Excite Pro,NCM,FWD,50.3,49,8,150000,461,ARAI,280,179.64,174.3,280,8.6,175,1645,50,52,0,17.73,0
MG,ZS EV,Exclusive Plus,NCM,FWD,50.3,49,8,150000,461,ARAI,280,179.64,174.3,280,8.6,175,1645,50,52,0,22.35,0
